Mere liye ATM stands for any time maar .	HI HI OTHER EN EN EN EN HI OTHER
Sharma ji ka ladka made bhuvi sacrifice his wicket	OTHER HI HI HI EN OTHER EN EN EN
ab aa rahi hai naa king of the world waali feeling ?	HI HI HI HI HI EN EN EN EN HI EN OTHER
I think hum sarrhay char so runzain banain ge aaj .	EN EN HI HI HI HI OTHER HI HI HI OTHER
" U shudnt try on ur sisters friend Courtesy naam ki bhi koi cheez hoti hai .. :p "	OTHER EN EN EN EN EN EN EN EN HI HI HI HI HI HI HI OTHER OTHER OTHER
Yàar diploma course krne ka man h since Mcom is over .	HI EN EN HI HI HI HI EN OTHER EN EN OTHER
Hemaji , Kent Purifier ke pani se hi plz wash off that makeup also	OTHER OTHER OTHER EN HI HI HI HI EN EN EN EN EN EN
Am I the only one jo abh tak yahii soch raha ha k F. Sc k bad kia karna haa ☺	EN EN EN EN EN HI HI HI HI HI HI HI HI OTHER OTHER HI HI HI HI HI OTHER
Flipkart walo mera phone deliver kar do fir jabong take over Karo .. 😋	OTHER HI HI EN EN HI HI HI OTHER EN EN HI OTHER OTHER
Commercial market Rawalpindi ki samosa chat hi koi parcel ker de ...	EN EN OTHER HI OTHER HI HI HI EN HI HI OTHER
haddiyon ke doctor , bade ortho docs hote hain !	HI HI EN OTHER HI EN EN HI HI OTHER
All day all night , mujhe yaad sataye teri :)	EN EN EN EN OTHER HI HI HI HI OTHER
Next year onwards IPL main match ni honge , toss se hi decide kar lenge	EN EN EN OTHER HI EN HI HI OTHER EN HI HI EN HI HI
Perfect Relations walon se kehna jara volunteers se bhi relations sudharwayen .. 😂	EN EN HI HI HI HI EN HI HI EN HI OTHER OTHER
" If you really Want to be Happy in your Life .. Then bhool jao use jo tumhe bhul gya 😢 "	OTHER EN EN EN EN EN EN EN EN EN EN OTHER EN HI HI HI HI HI HI HI OTHER OTHER
Karachi men koo acha jga bataen jahan achi class ki celebrations hom aj ?	OTHER HI HI HI HI HI HI HI EN HI EN HI HI OTHER
1 ghantay baad Pakistani team Push ups laga ke Army trainers ko salute karay gi .	OTHER HI HI OTHER EN EN EN HI HI EN EN HI EN HI HI OTHER
Agar one word reply karke bhi interesting conversation chahte ho , toh chutiye ho tum .	HI EN EN EN HI HI EN EN HI HI OTHER HI HI HI HI OTHER
Dear all CGPA students , hope tumhari khushi class 11th ke first Physics unit test ke baad bhi barkaraar rahe ..	EN EN OTHER EN OTHER EN HI HI EN EN HI EN EN EN EN HI HI HI HI HI OTHER
Ok good night dher sare moments ginwa diye aaj 😂😂	EN EN EN HI HI EN HI HI HI OTHER
Is it only me ya waqayi Karachi mein thand hogayi hai ?	EN EN EN EN HI HI OTHER HI HI HI HI OTHER
Facebook inbox ke other messages main itna sara pyar para hai .	OTHER EN HI EN EN HI HI HI HI HI HI OTHER
Sab log to so rahay hogay , pher b how are you everyone ?	HI HI HI HI HI HI OTHER HI HI EN EN EN EN OTHER
" Meri facebook profile mein "" Home "" ka button toot gaya hai . "	OTHER HI OTHER EN HI OTHER EN OTHER HI EN HI HI HI OTHER OTHER
There is chai and then there is tapri wali chai !	EN EN HI EN EN EN EN HI HI HI OTHER
Am i the only one jo aaaj tak Karachi se bh bahr nh gya	EN EN EN EN EN HI HI HI OTHER HI HI HI HI HI
How do u say larki nichay khari ha in one word in english	EN EN EN EN HI HI HI HI EN EN EN EN EN
" Hope , tomorrow Rashid Alvi does n't say , "" NDA ne bhi 90 lac ek appointment ke liye the :-) "	OTHER EN OTHER EN OTHER OTHER EN EN EN OTHER OTHER OTHER HI HI OTHER HI HI EN HI HI HI OTHER OTHER
Parthiv Patel 's relatives still ask him ki woh bade hoke kya banna chahta hai .	OTHER OTHER EN EN EN EN EN HI HI HI HI HI HI HI HI OTHER
" I knw main itna acha nahi likh pati But twitter non writer 's k lye bhi hai 😋 "	OTHER EN EN HI HI HI HI HI HI EN OTHER EN EN EN HI HI HI HI OTHER OTHER
Main sirf real life snakes and ladders khelta hoon .	HI HI EN EN EN EN EN HI HI OTHER
i 'm the only one jisey WhatsApp ban honey per bhi koi Fark nhi parey ga	EN EN EN EN EN HI OTHER EN HI HI HI HI HI HI HI HI
Ye Panama leaks walay hamaray final paper nahi leak kar saktay ?	HI OTHER EN HI HI EN EN HI EN HI HI OTHER
" Life is nothing but a journey from "" School ki chutti aj late hui "" to "" Office main aj boht kaam tha "" . "	OTHER EN EN EN EN EN EN EN OTHER EN HI HI HI EN HI OTHER EN OTHER EN HI HI HI HI HI OTHER OTHER OTHER
" When life gives you lemons Nihaari par dal kar kha lo . "	OTHER EN EN EN EN EN HI HI HI HI HI HI OTHER OTHER
" what if lie detectors were in real .. sub say phelay relationship walun ki waat lagti .. "	OTHER EN EN EN EN EN EN EN OTHER HI HI HI EN HI HI HI HI OTHER OTHER
I hate love because sab pyar ko timepass samjhte hai .	EN EN EN EN HI HI HI EN HI HI OTHER
" If you are , a public figure ... Then Aisi baatein karo , jo aapko ... Shobha De .!!! "	OTHER EN EN EN OTHER EN EN EN OTHER EN HI HI HI OTHER HI HI OTHER HI HI OTHER OTHER
I swear there are some chitti girls jo bilkul light k paas mu chipka k tasweere leti hai .	EN EN EN EN EN HI EN HI HI EN HI HI HI HI HI HI HI HI OTHER
People are finding soulmates yaha dhang ka torrent link nhi milta .	EN EN EN EN HI HI HI OTHER EN HI HI OTHER
Please Tweet ko RT kare aur Omar Abdullah ko unko old tweet yaad dilaye	EN EN HI OTHER HI HI OTHER OTHER HI HI EN EN HI HI
Alok nath deposited his daughters in a bank because ' betiyan paraya dhan hoti hai '	OTHER OTHER EN EN EN EN EN EN EN OTHER HI HI HI HI HI OTHER
City of lights konsi city ko kehte hai ?	EN EN EN HI EN HI HI HI OTHER
""" Nationality wale column me hum bold letters me ' Proud Hindu / Muslim ' likhte hain . """	OTHER EN HI EN HI HI EN EN HI OTHER EN OTHER OTHER OTHER OTHER HI HI OTHER OTHER
Today PM gave the line of the century : Main Bolta Raha Hoon , Main Bolta Rahoonga	EN OTHER EN EN EN EN EN EN OTHER HI HI HI HI OTHER HI HI HI
Pakistani twitter par overall mood cricket team Kay sath uper nechey Hota hai	OTHER OTHER HI EN EN EN EN HI HI HI HI HI HI
" If stalking were a game in olympics Ek medal tou apki behn ne le ana tha ! "	OTHER EN EN EN EN EN EN EN HI EN HI HI HI HI HI HI HI OTHER OTHER
Bring on the adrak chai and pakode yaar .	EN EN EN HI HI EN HI HI OTHER
" Log dost ki birthday pe 50k spend kardetay hain or mere agar 500 bhi lag jayen to I start hating that person Everyone needs a friend like me "	OTHER HI HI HI EN HI OTHER EN HI HI HI HI HI OTHER HI HI HI HI EN EN EN EN EN EN EN EN EN EN EN OTHER
Am i the only one jisay kal bh office jana hai ?	EN EN EN EN EN HI HI HI EN HI HI OTHER
It rained last night and the morning sun showing ki aisa kuch hua hi nahin tha ! 😒😞	EN EN EN EN EN EN EN EN EN HI HI HI HI HI HI HI OTHER OTHER
Hmari new traning kit ki picture hy kisi k pas ?	HI EN EN EN HI EN HI HI HI HI OTHER
Sub ka happy new year ho geya humary abi be 5 hours hn 😏	HI HI EN EN EN HI HI HI HI HI OTHER EN HI OTHER
So much double meaning in 90s songs , by god kya kya sunkar hum baade hue hain yaar .	EN EN EN EN EN EN EN OTHER EN EN HI HI HI HI HI HI HI HI OTHER
I should unfollow everyone jis ka GPA 3 se uper he !	EN EN EN EN HI HI OTHER OTHER HI HI HI OTHER
I really need to speed things up , agar yehi haal raha tou i do n't think ke hum se in chutiyon mein ho paye ga !	EN EN EN EN EN EN EN OTHER HI HI HI HI HI EN EN EN EN HI HI HI HI HI HI HI HI HI OTHER
All Members of reserved seats ko inform kiya jata hai k 2nd August ko tmam Members ( UC , MCs , TCs nd District Council ) es HAALAF Liya jaega .	EN EN EN EN EN HI EN HI HI HI HI EN OTHER HI HI EN OTHER OTHER OTHER OTHER OTHER OTHER EN EN EN OTHER HI HI HI HI OTHER
i think sabhi ladko ko keith ke jaise sensible hona chahiye 😍😍😘😘 ☺☺ Keith won hearts	EN EN HI HI HI OTHER HI HI EN HI HI OTHER OTHER OTHER EN EN
Btw , I hope mere mitron ne hashtags trend karne ki payment election results se pehle le li ho .	OTHER OTHER EN EN HI HI HI EN EN HI HI EN EN EN HI HI HI HI HI OTHER
What do you expect from the youth jin ko shaam khailne ke time pe tution bhaij diya jata tha !	EN EN EN EN EN EN EN HI HI HI HI HI EN HI EN HI HI HI HI OTHER
Aaj ka sabaq yey hay keh racist jokes come back to haunt you .	HI HI HI HI HI HI EN EN EN EN EN EN EN OTHER
6 wicket girne ke baad to ' Come on India ' bhi conviction se nahi nikalta !	OTHER EN HI HI HI HI OTHER EN EN OTHER OTHER HI EN HI HI HI OTHER
Jo desh ka mood hai , wohi dilli ka mood hai , says Modi , kicking off Delhi election campaign .	HI HI HI EN HI OTHER HI OTHER HI EN HI OTHER EN OTHER OTHER EN EN OTHER EN EN OTHER
I hope i 'm wrong but ab is awaam ka kuch nahi ho sakta !	EN EN EN EN EN EN HI HI HI HI HI HI HI HI OTHER
Sports tweet khatam nhi hue ki BB8 ke tweets chalu .	EN EN HI HI HI HI OTHER HI EN HI OTHER
Real life mein log itni sahi acting karte hain ki serials ki heroinon ko bhi sharm aa jaaye	EN EN HI HI HI HI EN HI HI HI EN HI HI HI HI HI HI HI
Mujhe aur hrithik sir ko same time pe fever a gaya tha 😃	HI HI OTHER EN HI EN EN HI EN HI HI HI OTHER
I do n't have a deodorant Isiliye under-arms pe phool ragad leta hoon .	EN EN EN EN EN EN HI EN HI HI HI HI HI OTHER
We can only hope k Allah Zidane Hamid ko nazar se bachaye .	EN EN EN EN HI EN OTHER OTHER HI HI HI HI OTHER
Kch log whatsapp ka status Available kar ke Wafaat paa jate hain .	HI HI OTHER HI EN EN HI HI HI HI HI HI OTHER
MAKE WAY FOR SULTAN wo apni Edie Lene aa raha hai .....	EN EN EN OTHER HI HI HI HI HI HI HI OTHER
a friend asking me ye tbh kia hota hai :P	EN EN EN EN HI OTHER HI HI HI OTHER
Any ghatya tweet on my TL n u 'll b unfollowed .	EN HI EN EN EN OTHER EN EN EN EN EN OTHER
Next time media k hath main guns dy k army aur rangers live coverage kraige =) phr ayega maza =D	EN EN EN HI HI HI EN HI HI EN HI EN EN EN HI OTHER HI HI HI OTHER
PRDP jaisi movies first day first show dekhne walon ko kabhi seriously nahi lena chahiye .	OTHER HI EN EN EN EN EN HI HI HI HI EN HI HI HI OTHER
Cyber crime bill ki full link hai kisi k paas ??	EN EN EN HI EN EN HI HI HI HI OTHER
Tension is baat ki hai k papers ki tension Kyu nahi hai .	EN HI HI HI HI HI EN HI EN HI HI HI OTHER
If Mufti Muneeb ko chand nazar agaya , it means Chand ki umar at least 2 din hogi	EN OTHER OTHER HI HI HI HI OTHER EN EN HI HI HI EN EN OTHER HI HI
""" Aray , yeh tumhari bhalai ke liye hain "" - every person who took my thumb print . "	OTHER HI OTHER HI HI HI HI HI HI OTHER OTHER EN EN EN EN EN EN EN OTHER OTHER
Jab policy maker policy breaker ban jatay hain to masail khud janam lety hain .	HI EN EN EN EN HI HI HI HI HI HI HI HI HI OTHER
" Religion waale column mein Bold aur Capitals mein hum "" General Merit "" likthe hain "	OTHER EN HI EN HI EN HI EN HI HI OTHER EN EN OTHER HI HI OTHER
Dhaka : Under 19 World Cup Quarter Final Main West Indies Nay Pakistan Ko 5 Wicket Say Hara Diya	OTHER OTHER EN OTHER EN EN EN EN HI OTHER OTHER HI OTHER HI OTHER EN HI HI HI
Recording pe apni awaz sunn kay I want to commit suicide . 😔	EN HI HI HI HI HI EN EN EN EN EN OTHER OTHER
BY GOD ITNA SAKUN TOH ARSENAL KE FA CUP JEETNE PAR BHI NAHI AAYA	EN EN HI HI HI OTHER HI OTHER EN HI HI HI HI HI
I do n't care Eid kal ho ya parson par yeh garmi k rozay muk jayen jaldi se	EN EN EN EN OTHER HI HI HI HI HI HI HI HI HI HI HI HI HI
Today someone sent me original imli aloo bukharay ka sharbat .	EN EN EN EN EN OTHER OTHER OTHER HI HI OTHER
Kabhi yeh harkat nae ki thy , but could n't stop myself .	HI HI HI HI HI HI OTHER EN EN EN EN EN OTHER
Main har building mein sirf construction ke time allowed hoon .	HI HI EN HI HI EN HI EN EN HI OTHER
I better stop supporting anyone , jiss ko support karo haar jata hai	EN EN EN EN EN OTHER HI HI EN HI HI HI HI
I 'll gift my wife Rado ka tikka on suhaag raat 😚😗	EN EN EN EN EN OTHER HI HI EN HI HI OTHER
Thand bhi odd even formula follow Kr rhi h 😏	HI HI EN EN EN EN HI HI HI OTHER
I find it ironic ki log mere kapde dekh kar bhi mujhe kapde dhone ke liye dete hain .	EN EN EN EN HI HI HI HI HI HI HI HI HI HI HI HI HI HI OTHER
Do n't know kon mera friend hai aur kon enemy 😏😏😏	EN EN EN HI HI EN HI HI HI EN OTHER
Puri raat jaag kar Facebook chalaya .. instead of studying physics ..	HI HI HI HI OTHER HI OTHER EN EN EN EN OTHER
I am a 101 % lazy person aur phir ammi lassi bhi pila deti hain . -_-	EN EN EN OTHER OTHER EN EN HI HI HI HI HI HI HI HI OTHER OTHER
Humari family mein sab cancer ads ke model hain .	HI EN HI HI EN EN HI EN HI OTHER
" Ca n't sleep Ca n't eat Ca n't do anything jab tak result na ajaye "	OTHER EN EN EN EN EN EN EN EN EN EN HI HI EN HI HI OTHER
Ek neat shot kya pi liya , friend thinks I 'm drunk .	HI EN EN HI HI HI OTHER EN EN EN EN EN OTHER
Sab se zyada romantic tweets forever alone type k log hi karty hen .	HI HI HI EN EN EN EN EN HI HI HI HI HI OTHER
Agar mein kisi ko khana gift karoon for their birthday , is that valid ? 😐	HI HI HI HI HI EN HI EN EN EN OTHER EN EN EN OTHER OTHER
Come on guys wicket nayi tu runs bi na dou atleast	EN EN EN EN HI HI EN HI HI HI EN
Wo Younis Khan hi tha jis nay team ko utha lia tha and he never gets enough credit .	HI OTHER OTHER HI HI HI HI EN HI HI HI HI EN EN EN EN EN EN OTHER
i like Eid-ul-azha coz iss mein boys ko bhi kaam karna parta hai \o/	EN EN OTHER EN HI HI EN HI HI HI HI HI HI OTHER
Seems that Inqilab and Azadi march se govt tass se mass nai hui ,,, Drop scene pata nai kb hoga ...	EN EN HI EN HI EN HI EN HI HI HI HI HI OTHER EN EN HI HI HI HI OTHER
